repo,path,kind,category,systems,lines,local_import_count,local_imports,routes
mashos-api,ai/services/ai_inference/api_report_reads.py,api,route,analysis_myweb,516,6,ai/services/ai_inference/api_account_visibility.py | ai/services/ai_inference/publish_governance.py | ai/services/ai_inference/response_microcache.py | ai/services/ai_inference/subscription.py | ai/services/ai_inference/subscription_store.py | ai/services/ai_inference/supabase_client.py,GET /report-reads/status | POST /report-reads/mark | GET /report-reads/myweb-unread-status
mashos-api,ai/services/ai_inference/api_subscription.py,api,route,account_settings,557,8,ai/services/ai_inference/active_users_store.py | ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/client_compat.py | ai/services/ai_inference/subscription.py | ai/services/ai_inference/subscription_bootstrap_store.py | ai/services/ai_inference/subscription_projection.py | ai/services/ai_inference/subscription_verifier_android.py | ai/services/ai_inference/subscription_verifier_ios.py,GET /subscription/bootstrap | GET /subscription/me | POST /subscription/update
mashos-api,ai/services/ai_inference/api_today_question.py,api,route,input_home,486,8,ai/services/ai_inference/active_users_store.py | ai/services/ai_inference/api_emotion_submit.py | ai/services/ai_inference/astor_snapshot_enqueue.py | ai/services/ai_inference/publish_governance.py | ai/services/ai_inference/response_microcache.py | ai/services/ai_inference/subscription.py | ai/services/ai_inference/subscription_store.py | ai/services/ai_inference/today_question_store.py,GET /today-question/current | GET /today-question/status | POST /today-question/answers | GET /today-question/history | PATCH /today-question/history/{answer_id} | GET /today-question/settings | PATCH /today-question/settings | POST /cron/today-question/push
mashos-api,ai/services/ai_inference/app.py,service,service_store_governance,,1583,53,ai/services/ai_inference/api_account_lifecycle.py | ai/services/ai_inference/api_account_status.py | ai/services/ai_inference/api_account_visibility.py | ai/services/ai_inference/api_activity_login.py | ai/services/ai_inference/api_app_bootstrap.py | ai/services/ai_inference/api_cron_distribution.py | ai/services/ai_inference/api_deep_insight.py | ai/services/ai_inference/api_emotion_history_manage.py | ai/services/ai_inference/api_emotion_history_search.py | ai/services/ai_inference/api_emotion_reflection.py | ai/services/ai_inference/api_emotion_secret.py | ai/services/ai_inference/api_emotion_submit.py,POST /myweb/insight | POST /myweb/insight/weekly | POST /myweb/insight/monthly | GET /myweb/insight/weekly | GET /myweb/insight/monthly | GET /healthz | POST /internal/rollover | GET /mymodel/templates | POST /mymodel/infer
mashos-api,ai/services/ai_inference/astor_account_status_enqueue.py,runtime,astor_worker_store,account_settings|national_system,223,1,ai/services/ai_inference/astor_job_queue.py,
mashos-api,ai/services/ai_inference/astor_account_status_kernel.py,runtime,astor_worker_store,account_settings|national_system,169,2,ai/services/ai_inference/astor_account_status_store.py | ai/services/ai_inference/supabase_client.py,
mashos-api,ai/services/ai_inference/astor_account_status_store.py,runtime,astor_worker_store,account_settings|national_system,539,1,ai/services/ai_inference/supabase_client.py,
mashos-api,ai/services/ai_inference/astor_core.py,runtime,astor_worker_store,national_system,393,4,ai/services/ai_inference/astor_deep_insight.py | ai/services/ai_inference/astor_myweb_insight.py | ai/services/ai_inference/astor_patterns.py | ai/services/ai_inference/astor_structure_matcher.py,
mashos-api,ai/services/ai_inference/astor_deep_insight.py,runtime,astor_worker_store,national_system,531,4,ai/services/ai_inference/astor_deep_insight_question_store.py | ai/services/ai_inference/astor_deep_insight_store.py | ai/services/ai_inference/astor_patterns.py | ai/services/ai_inference/deep_insight_strategy.py,
mashos-api,ai/services/ai_inference/astor_deep_insight_question_store.py,runtime,astor_worker_store,national_system,297,0,,
